grid_id,n_claims,total_paid,total_bldg_val,event_name,year,event_num,no_bldAll_flooded,areaSqKm_developed,areaSqKm_total,grid_lat,grid_lon,county,n_buildings,mean_elevation,median_elevation,mean_found_ht,mean_bldg_value,median_bldg_value,total_bldg_value,mean_sqft,mean_age,res_ratio,pct_miss_elev,pct_miss_value,area_sqkm,bldg_density,value_outlier,loss_ratio,log_total_paid,flood_ratio,mean_hag,pct_elevated
34.4_-79.0,38,1346442.21,4915906.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.4,-79.0,Robeson,328.0,104.54013932926829,94.985,2.251432682926829,85937.27329192546,42727.5,27671802.0,1650.1149068322982,29.675078864353313,0.9664634146341464,0.0,0.0182926829268292,123.21000000000004,2.6621215810404992,False,0.2738950276917418,14.112977014332476,0.3694691015042688,3.5997,1.0
34.4_-79.1,3,97282.08,397120.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.4,-79.10000000000001,Robeson,2048.0,116.69210805664062,116.6894,2.3972269140625,132720.7177734375,73097.0,271812030.0,2089.14453125,38.77009803921569,0.9619140625,0.0,0.0,123.21000000000004,16.622027432838237,False,0.2449689766317486,11.485380357883,0.1452116314958991,3.6441,1.0
34.4_-79.2,1,24763.36,406463.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.4,-79.2,Robeson,2790.0,117.24103028673836,117.87835,2.385534301075269,166815.8340501792,81987.5,465416177.0,2668.4372759856633,35.133883704235465,0.943010752688172,0.0,0.0,123.21000000000004,22.644265887509125,False,0.060924020144515,10.117160801764925,0.0785345552042898,3.4353,1.0
34.5_-79.0,335,13768213.2,71243778.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.5,-79.0,Robeson,2906.0,117.869441431521,116.93055,2.399989236063317,135171.56743704726,35338.0,391862374.0,1925.3932390479476,26.126648160999306,0.9786648313833448,0.0,0.0024088093599449,123.21000000000004,23.58574791007223,False,0.1932549562433367,16.437873174567713,0.2083220039426279,3.3161,0.9967
34.5_-79.1,42,1562920.56,27736195.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.5,-79.10000000000001,Robeson,3031.0,127.79862857142857,127.3324,2.3714633916199275,131343.14955430836,46329.0,397838400.0,2146.092769891053,28.760357971494862,0.975915539425932,0.0,0.0006598482349059,123.21000000000004,24.600275951627296,False,0.0563494942258662,14.26206742260365,0.1009755058572949,3.6506,0.9997
34.5_-79.2,22,284005.28,2982485.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.5,-79.2,Robeson,2034.0,135.02952925270404,138.2897,2.3948463077679447,166836.43215339232,78226.0,339345303.0,2618.4670599803344,37.27407407407407,0.943952802359882,0.0,0.0,123.21000000000004,16.50840029218407,False,0.0952243783288097,12.55675162957492,0.0943270812206532,3.6204,0.9995
34.5_-79.3,2,11199.4,447030.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.5,-79.30000000000001,Robeson,1887.0,141.33857880233174,143.96,2.396263577106518,154278.64952279956,93089.5,290969533.0,2430.503711558855,38.569131832797424,0.9273979862215156,0.0,0.0005299417064122,123.21000000000004,15.315315315315312,False,0.0250529047267521,9.32370477093116,0.0548345879708739,3.4116,0.9992
34.7_-79.0,150,7023937.23,36497944.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.7,-79.0,Robeson,2085.0,152.4402762589928,153.9116,2.3926593525179856,127076.85590778098,64859.5,264574014.0,2088.260806916426,27.8,0.9645083932853716,0.0,0.0014388489208633,123.21000000000004,16.922327733138538,False,0.1924474767674584,15.764834620124024,0.0468017130038746,3.3389,0.9987
34.7_-79.1,11,510490.72,1861015.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.7,-79.10000000000001,Robeson,2561.0,162.48012830925418,161.6401,2.3868150566185085,109705.39359625148,36309.0,280955513.0,1977.3545490042952,27.504720692368213,0.9590003904724717,0.0,0.0,123.21000000000004,20.78565051538024,False,0.2743076869342805,13.14312969706257,0.0731880341880341,3.3782,0.9996
34.7_-79.2,42,1447947.74,7183302.0,Hurricane Florence,2018,1,29952.0,119.1564,2812.0536,34.7,-79.2,Robeson,3396.0,176.86302520612486,176.62605,2.393915535924618,131107.38309776207,59747.0,445240673.0,2158.270023557126,29.95077565632458,0.9687868080094229,0.0,0.0,123.21000000000004,27.562697832968095,False,0.2015713302879372,14.1856584507487,0.1057094017094017,3.1975,0.9972
